fingerprint_type,threshold,cluster_index,cliff_nmols,smooth_nmols,cliff_p_mean,cliff_p_std,smooth_p_mean,smooth_p_std
ECFP,0.3,0,321,20,1.602771099560921,0.7286350311744898,0.7889812506666396,0.30930205221922863
ECFP,0.3,1,139,17,1.5775130196831177,1.0360413405889162,0.34288750995385864,0.19821011003936018
ECFP,0.3,2,110,17,0.6416542998748929,0.4774443970558416,2.0844331183068943,0.2721748541957499
ECFP,0.3,3,103,15,1.3135125929180493,0.9646775426643974,0.38358530769136906,0.21891466498624776
ECFP,0.3,4,46,15,1.0124828727789683,0.8515308595760402,0.3359533296700311,0.2535098390055651
ECFP,0.3,5,44,14,0.6997405961497939,0.5710431040645928,1.7076543715249795,0.22583509673200686
ECFP,0.3,6,37,14,1.442713873688421,1.1845650305575948,0.14873690956329952,0.15595848937394993
ECFP,0.3,7,35,13,2.15727950447228,1.1497309563305953,0.48305998210821105,0.2899850250701275
ECFP,0.3,8,33,12,1.4082434467360503,1.1820110303678297,0.4418935185622291,0.33043212252357046
ECFP,0.3,9,30,11,0.6382698186763249,0.5141081685394581,1.53351147868149,0.23669697862090322
ECFP,0.4,0,248,23,1.559632151332961,0.7028157976139873,0.7940991791410614,0.2895532975684689
ECFP,0.4,1,150,22,1.562353190779072,0.9948462323327837,0.4234673428264451,0.2615451525904841
ECFP,0.4,2,122,18,0.6317196727463256,0.4808690006691575,2.059457832611758,0.27853508428512863
ECFP,0.4,3,67,14,1.5340366908373944,0.8460558151168435,1.7076543715249795,0.22583509673200686
ECFP,0.4,4,55,14,1.5273277739319266,0.6217937893603606,0.14873690956329952,0.15595848937394993
ECFP,0.4,5,52,13,1.0334490299826868,1.1504089124116397,0.48305998210821105,0.2899850250701275
ECFP,0.4,6,36,13,0.7828145936444866,0.5867945520611059,0.3487437806962606,0.2085716712329724
ECFP,0.4,7,34,12,2.1895319063581233,1.1508051628860605,0.37453772381963435,0.19443622700713056
ECFP,0.4,8,32,12,0.8414125235479007,0.8795522824363413,0.4418935185622291,0.33043212252357046
ECFP,0.4,9,25,11,0.42285466844938596,0.2641291875932541,0.31864999802908234,0.2923792176519833
ECFP,0.5,0,115,23,0.6193011814020376,0.47169984895772776,0.7940991791410614,0.2895532975684689
ECFP,0.5,1,76,21,1.570933263515324,0.6687791516386089,0.3602675269265272,0.20906279415641255
ECFP,0.5,2,59,18,1.6822498028353048,0.8306405342019841,2.059457832611758,0.27853508428512863
ECFP,0.5,3,59,17,0.8436480995178796,0.9208735104028725,0.43060670844994187,0.20569519401045286
ECFP,0.5,4,55,15,1.6776978266068427,0.8181956027921946,0.15418437701763116,0.15204263328841305
ECFP,0.5,5,52,14,1.6083298615619332,0.5742370931335736,1.7076543715249795,0.22583509673200686
ECFP,0.5,6,46,13,1.4265623950286557,0.6911800596510447,0.48305998210821105,0.2899850250701275
ECFP,0.5,7,42,12,0.8043902063822269,0.5645119316974588,0.4418935185622291,0.33043212252357046
ECFP,0.5,8,35,11,1.2237766623823172,0.7029157282876409,2.6585821711485798,0.290451105714638
ECFP,0.5,9,29,11,2.699825612128507,0.8041830585941206,1.53351147868149,0.23669697862090322
